	Sample Name	MBSWPE1015-A (MCB A)	MBIAPE1015-B 10/06/2015	MBSWPE1015-B 10/06/2015	MBIAPE1015-C 10/06/2015	MBIAPE1015-C-Dup 10/06/2015	MBSWPE1015-C 10/06/2015	MBIAPE1015-D 10/06/2015	MBSWPE1015-D 10/06/2015	MBIAPE1015-E 10/06/2015	MBSWPE1015-E 10/06/2015	MBSWPE1015-E-Dup 10/06/2015	MBIAPE1015-G 10/06/2015	MBSWPE1015-G 10/06/2015	MBIAPE1015-H 10/06/2015	MBSWPE1015-H 10/06/2015	MBIAPE1015-I 10/06/2015	MBSWPE1015-I 10/06/2015	MBIAPE1015-J 10/06/2015	MBSWPE1015-J 10/06/2015	MBIAPE1015-K 10/06/2015	MBSWPE1015-K 10/06/2015	MBIAPE1015-L 10/06/2015	MBSWPE1015-L 10/06/2015	MBSAPE1015-5 10/06/2015	MBIAPE1015-5 10/06/2015	MBSWPE1015-5 10/06/2015	MBSAPE1015-12 10/06/2015	MBIAPE1015-12 10/06/2015	MBSWPE1015-12 10/06/2015	MBSAPE1015-13 10/06/2015	MBIAPE1015-13 10/06/2015	MBSWPE1015-F 10/06/2015	MBSAPE1015-16 10/06/2015	MBIAPE1015-16 10/06/2015	MBSWPE1015-16 10/06/2015	MBSWPE1015-1 (MCB 1)	MBSWPE1015-27 (MCB 27)
	Sample #	A150525	A150529	A150527	A150533	A150534	A150531	A150539	A150537	A150545	A150541	A150542	A150551	A150549	A150555	A150553	A150559	A150557	A150563	A150561	A150567	A150565	A150571	A150569	A150575	A150574	A150573	A150578	A150577	A150576	A150580	A150579	A150547	A150583	A150582	A150581	A150584	A150586
	Location	MCB A	MCB B	MCB B	MCB C	MCB C	MCB C	MCB D	MCB D	MCB E	MCB E	MCB E	MCB G	MCB G	MCB H	MCB H	MCB I	MCB I	MCB J	MCB J	MCB K	MCB K	MCB L	MCB L	MCB 5	MCB 5	MCB 5	MCB 12	MCB 12	MCB 12-SW	MCB 13	MCB 13	MCB 13-SW	MCB 16	MCB 16	MCB 16	MCB 1	MCB 27
Naphthalene	ng/L	#VALUE!	3.84	0.64	10.28	9.52	90.62	#VALUE!	0.23	#VALUE!	#VALUE!	0.50	#VALUE!	0.62	#VALUE!	0.75	#VALUE!	#VALUE!	#VALUE!	0.16	#VALUE!	#VALUE!	#VALUE!	5.31	5.24	2.91	32.96	58.29	29.95	0.70	#VALUE!	#VALUE!	1.08	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!
1-Methylpyrene	ng/L	0.090413067	0.13	0.10	#VALUE!	#VALUE!	0.08	#VALUE!	0.11	#VALUE!	0.07	0.07	#VALUE!	0.06	#VALUE!	0.06	0.15	0.06	#VALUE!	0.12	#VALUE!	0.10	0.12	0.09	0.43	#VALUE!	0.10	0.50	0.28	0.12	0.10	0.02	0.05	0.11	#VALUE!	0.10	0.091119522	0.102731477
Benzo(a)anthracene	ng/L	0.27506734	0.26988168	0.26	#VALUE!	#VALUE!	0.24	#VALUE!	0.32	#VALUE!	0.221244016	0.195048017	#VALUE!	0.188275275	#VALUE!	0.183085944	0.392654861	0.165924168	#VALUE!	0.37	#VALUE!	0.281834851	0.196270267	0.29	0.91	#VALUE!	0.285613465	1.701958534	0.626163665	0.32	#VALUE!	#VALUE!	0.14	#VALUE!	#VALUE!	0.28	0.23454261	0.314249158
Cyclopenta(cd)pyrene	ng/L	0.029915987	#VALUE!	0.02	#VALUE!	#VALUE!	0.02009141	#VALUE!	0.05	#VALUE!	0.037203963	0.03445995	#VALUE!	0.031965637	#VALUE!	0.033148296	#VALUE!	0.027934563	#VALUE!	0.05	#VALUE!	0.04	#VALUE!	0.03	#VALUE!	#VALUE!	0.03	#VALUE!	#VALUE!	0.04	#VALUE!	#VALUE!	0.02	#VALUE!	#VALUE!	0.04	#VALUE!	#VALUE!
Triphenylene	ng/L	0.193339614	0.24	0.20	#VALUE!	#VALUE!	0.17	#VALUE!	0.20	#VALUE!	0.13	0.12	#VALUE!	0.11	#VALUE!	0.11	0.21	0.10	#VALUE!	0.21	#VALUE!	0.17	0.24	0.18	0.66	0.32	0.21	0.60	0.31	0.22	#VALUE!	#VALUE!	0.09	0.19	#VALUE!	0.17	0.147270508	0.174391457
Chrysene	ng/L	0.336756088	0.341426405	0.323399659	#VALUE!	#VALUE!	0.294281386	0.118504975	0.377843383	#VALUE!	0.256238885	0.221428279	#VALUE!	0.212430194	#VALUE!	0.207994118	0.470836718	0.188446203	#VALUE!	0.384548779	#VALUE!	0.307045481	0.149573068	0.353941259	1.051140999	0.5556661	0.35185861	2.137178584	0.879573614	0.419463611	0.113583732	0.033988216	0.174453259	0.242538106	#VALUE!	0.332811477	0.279446787	0.362729042
6-Methyl chrysene	ng/L	0.048044065	#VALUE!	0.04	#VALUE!	#VALUE!	0.04	#VALUE!	0.04	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	0.05	#VALUE!	#VALUE!	#VALUE!	0.04	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	0.05	#VALUE!	#VALUE!	0.02	#VALUE!	#VALUE!	0.04	#VALUE!	#VALUE!
5-Methylchrysene	ng/L	#VALUE!	#VALUE!	0.03	#VALUE!	#VALUE!	#VALUE!	#VALUE!	0.04	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	0.07	#VALUE!	0.06	#VALUE!	0.06	#VALUE!	#VALUE!	0.07	#VALUE!	#VALUE!	0.05	#VALUE!	#VALUE!	0.02	#VALUE!	#VALUE!	0.04	#VALUE!	#VALUE!
Benzo (b) fluoranthene	ng/L	0.150599782	0.172070411	0.15	#VALUE!	#VALUE!	0.115163119	0.093495038	0.13	#VALUE!	0.091152188	0.078696426	#VALUE!	0.072904488	#VALUE!	0.070039683	0.237470431	0.073816673	#VALUE!	0.13	#VALUE!	0.101131153	0.141032375	0.13	0.79	0.363662308	0.146142618	0.864976615	0.224890865	0.16	#VALUE!	#VALUE!	0.07	0.19	#VALUE!	0.11	0.102254541	0.134999617
"7,12-Dimethylbenz(a)anthracene"	ng/L	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
Benzo (k) fluoranthene	ng/L	0.069657946	0.073140075	0.064011178	#VALUE!	#VALUE!	0.053655807	#VALUE!	0.061974933	#VALUE!	0.047033233	0.040885417	#VALUE!	0.038372258	#VALUE!	0.036001337	#VALUE!	0.03670487	#VALUE!	0.061170391	#VALUE!	0.04761521	#VALUE!	0.058312577	#VALUE!	#VALUE!	0.068016241	0.376018648	0.102901089	0.072888721	#VALUE!	#VALUE!	0.031959069	#VALUE!	#VALUE!	0.050707898	0.055822096	0.069806354
